股票,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月
天奇股份,4,0,0,2,1,2,8,1,0,2,3,1
传化股份,0,0,1,2,4,2,0,2,3,4,1,10
盾安环境,3,0,3,4,3,0,4,1,4,1,8,2
凯恩股份,0,0,0,0,0,0,0,0,0,0,0,0
中航机电,2,0,1,8,5,0,5,2,2,3,0,0
世荣兆业,2,0,0,0,0,0,0,1,0,1,0,2
东信和平,0,0,0,0,0,0,0,0,0,0,0,0
亿帆鑫富,2,0,3,2,4,0,1,1,3,2,0,5
中捷资源,0,0,0,0,1,0,1,0,0,0,0,1
科华生物,4,3,5,2,3,5,6,3,1,0,1,1
海特高新,3,1,1,3,4,1,5,0,0,1,0,6
苏宁云商,16,10,0,10,12,2,1,5,1,1,3,7
航天电器,1,0,0,0,2,0,2,0,0,0,0,0
山东威达,0,0,0,0,0,0,0,0,5,3,3,1
分众传媒,0,0,0,0,0,1,0,1,0,0,1,1
思源电气,4,0,0,1,1,0,2,0,0,4,0,3
七匹狼,13,1,0,1,4,0,8,0,0,0,1,0
达安基因,0,0,0,2,1,0,2,2,0,0,1,1
巨轮智能,3,0,1,0,1,0,0,0,0,0,0,0
苏泊尔,3,0,0,0,2,1,5,1,2,1,6,7
丽江旅游,11,1,1,2,8,2,5,2,3,3,4,12
美欣达,0,1,2,0,0,0,0,0,0,2,0,0
华帝股份,6,0,0,0,4,2,5,2,0,1,3,0
联创电子,0,0,0,0,0,0,0,0,0,0,0,0
久联发展,2,2,0,1,4,0,3,0,0,0,0,0
双鹭药业,6,2,0,0,5,0,0,0,0,0,0,0
黔源电力,0,0,0,0,1,0,0,0,2,0,0,4
登海种业,13,1,1,1,8,1,5,1,0,0,3,2
华孚色纺,2,2,0,5,8,0,7,3,6,1,2,11
国光电器,0,0,0,1,1,0,2,2,0,0,0,0
轴研科技,0,0,0,0,0,0,0,0,0,0,0,0
宝鹰股份,4,2,0,0,3,1,3,0,3,3,2,5
宁波华翔,2,2,0,1,2,0,0,0,0,2,1,3
同方国芯,10,6,2,4,10,0,8,6,0,0,1,4
三花股份,3,0,0,0,1,0,0,3,1,0,3,1
中工国际,5,0,0,0,4,0,7,0,1,5,1,14
云南盐化,0,1,0,0,4,0,1,0,0,0,1,3
德美化工,3,0,0,0,1,0,0,0,0,0,0,0
得润电子,6,3,2,10,3,0,1,10,2,2,5,7
横店东磁,2,1,1,1,2,0,0,1,0,1,0,3
威尔泰,0,0,0,0,0,0,1,0,0,0,0,0
云南旅游,6,1,0,0,3,0,3,0,7,1,0,0
粤水电,0,0,0,0,1,0,1,1,0,0,0,2
宏润建设,1,0,0,4,3,0,3,0,0,0,0,1
远光软件,5,0,1,1,1,0,0,2,1,0,0,1
华峰氨纶,1,0,0,0,0,0,0,0,0,0,0,0
东华软件,8,9,0,3,3,1,1,1,1,0,0,0
瑞泰科技,0,0,0,0,0,0,0,0,0,0,0,0
景兴纸业,0,0,0,0,0,0,1,0,0,0,0,0
黑猫股份,0,0,0,0,0,0,0,0,0,0,0,1
长城影视,1,2,2,2,3,0,1,1,0,0,0,1
软控股份,1,1,1,2,1,1,1,2,1,1,0,2
国轩高科,5,0,0,4,9,0,8,6,1,5,18,28
雪莱特,1,0,1,0,2,1,1,1,0,0,3,3
大港股份,1,5,0,0,1,1,1,0,1,1,0,0
太阳纸业,1,0,0,0,2,0,2,0,0,0,4,2
苏州固锝,0,0,1,0,1,1,1,0,0,0,0,0
金螳螂,10,0,8,7,7,6,11,5,6,7,6,1
孚日股份,0,0,1,1,1,0,0,0,0,0,0,1
海鸥卫浴,2,2,5,1,2,0,1,1,0,1,1,1
万丰奥威,1,0,1,5,7,2,3,1,5,2,4,4
东方海洋,1,0,0,0,0,0,1,0,0,2,1,0
新野纺织,0,0,0,0,0,0,1,0,0,0,0,0
鲁阳节能,0,0,0,0,1,2,0,0,0,0,1,0
新海宜,7,5,4,2,4,5,7,0,2,1,0,1
金智科技,1,0,0,0,0,0,2,2,0,0,2,7
中泰化学,0,0,0,0,2,0,1,0,0,0,1,3
国脉科技,0,1,0,0,0,0,0,0,1,0,0,1
青岛金王,4,0,0,3,3,0,4,3,11,4,10,2
生意宝,2,0,0,0,0,0,0,0,0,0,0,0
南岭民爆,0,0,0,0,0,0,0,0,0,0,0,0
山河智能,0,0,0,0,0,0,0,1,1,2,0,1
浔兴股份,2,0,1,0,1,0,2,0,0,0,1,1
海翔药业,1,1,0,0,2,1,0,0,0,2,0,0
天康生物,14,1,0,0,6,0,1,2,1,0,2,3
广东鸿图,1,1,0,0,1,0,0,1,0,0,1,1
恒宝股份,0,5,1,0,3,0,3,0,1,0,1,2
信隆实业,0,0,0,0,0,0,0,0,0,0,0,1
沃华医药,0,0,0,1,0,0,0,0,0,0,0,0
沧州明珠,6,1,0,2,1,1,12,0,0,15,4,14
威海广泰,4,2,1,2,1,1,4,3,2,0,3,4
天润控股,0,0,0,1,0,0,0,0,0,0,0,0
罗平锌电,0,0,0,0,0,0,0,0,0,0,0,0
三维通信,6,0,0,0,3,1,3,3,0,2,1,3
中国海诚,3,0,0,2,4,0,10,1,0,1,2,1
东港股份,5,3,6,3,19,0,8,1,17,11,5,11
紫鑫药业,0,0,0,0,0,0,0,0,0,0,0,0
康强电子,0,0,0,0,0,0,0,0,0,0,0,0
