szr2,media.su,media.ft,zongher2,su.xuni,gongju,guba
0.789285,0,0,0.5742,0,21.94,0.011391867
0.77209,0,0,0.6214,0,21.94,0.007417916
0.851857,0,0,0.6154,0,21.94,0.007480335
0.483579,0,1,0.5827,0,20.68,0.027360078
0.657649,0,1,0.4965,0,20.68,0.019294457
0.213716,0,2,0.2938,0,20.68,0.012932229
0.640273,0,0,0.7181,0,22.35,0.003777544
0.505524,0,0,0.6537,0,22.35,0.01101202
0.656109,0,1,0.6127,0,22.35,0.007990926
0.070651,0,0,0.342,0,56.76,0.004387161
0.087886,0,1,0.3995,0,56.76,0.003473213
0.507177,0,0,0.5292,0,56.76,0.003754748
0.752979,0,0,0.5742,0,55.23,0.005747416
0.705603,0,0,0.6214,0,55.23,0.009471337
0.701299,0,0,0.6154,0,55.23,0.005185048
0.735481,0,1,0.5827,0,67.86,0.008713807
0.436407,0,0,0.4965,0,67.86,0.007106284
0.242248,0,2,0.2938,0,67.86,0.03134476
0.454813,0,4,0.7181,0,67.3,0.014098052
0.563498,4,20,0.6537,1,67.3,0.048148959
0.591898,0,4,0.6127,0,67.3,0.033548611
0.571595,0,0,0.342,0,41.15,0.002913296
0.476114,0,0,0.3995,0,41.15,0.002738697
0.520224,0,0,0.5292,0,41.15,0.003388604
0.633478,0,1,0.5742,0,42.84,0.002032842
0.802102,0,1,0.6214,0,42.84,0.005584974
0.895235,0,0,0.6154,0,42.84,0.010900345
0.399491,0,3,0.5827,0,43,0.032194617
0.393437,0,3,0.4965,0,43,0.058672889
0.229142,0,4,0.2938,0,43,0.00681521
0.56903,0,1,0.7181,0,37.88,0.014764491
0.263911,0,7,0.6537,0,37.88,0.089558389
0.563896,0,3,0.6127,0,37.88,0.016364367
0.457147,0,0,0.342,0,54.65,0.004779557
0.434912,0,0,0.3995,0,54.65,0.004566401
0.033934,0,0,0.5292,0,54.65,0.008117308
0.481118,0,1,0.5742,0,55.91,0.006547824
0.498615,0,0,0.6214,0,55.91,0.005677164
0.818897,0,0,0.6154,0,55.91,0.004584122
0.014977,0,3,0.5827,0,54.84,0.062469817
NA,0,1,0.4965,0,54.84,0.060114693
0.083138,0,4,0.2938,0,54.84,0.021792672
0.467039,0,0,0.7181,0,55.72,0.009488404
NA,0,2,0.6537,0,55.72,0.01956791
0.430302,0,1,0.6127,0,55.72,0.016402326
0.475814,0,0,0.342,0,55.25,0.027724669
0.747626,0,0,0.3995,0,55.25,0.018994088
0.523545,0,1,0.5292,0,55.25,0.035086635
0.826447,2,0,0.5742,1,57.26,0.03347227
0.884166,0,0,0.6214,0,57.26,0.020084424
0.821143,1,0,0.6154,1,57.26,0.013432688
0.455911,0,2,0.5827,0,57.14,0.027168208
0.37622,0,0,0.4965,0,57.14,0.029339751
0.506771,0,1,0.2938,0,57.14,0.026164233
0.940801,0,0,0.7181,0,56.19,0.008719543
0.84875,0,0,0.6537,0,56.19,0.008917503
0.773126,0,0,0.6127,0,56.19,0.00930181
0.14255,0,1,0.342,0,78.49,0.003896168
0.521565,0,0,0.3995,0,78.49,0.001646347
0.640171,0,1,0.5292,0,78.49,0.001762568
0.471895,0,4,0.5742,0,76.91,0.017986122
0.346697,2,9,0.6214,1,76.91,0.104876201
0.114563,1,15,0.6154,1,76.91,0.378718486
0.044328,12,51,0.5827,1,76.5,1.586689755
NA,1,24,0.4965,1,76.5,0.534597835
0.017006,0,10,0.2938,0,76.5,0.269156986
0.437797,0,5,0.7181,0,78.86,0.19408717
0.739786,0,3,0.6537,0,78.86,0.13370709
0.475822,0,4,0.6127,0,78.86,0.082274015
0.383327,0,0,0.342,0,50.47,0.005584086
0.553535,0,0,0.3995,0,50.47,0.005363667
0.804177,0,1,0.5292,0,50.47,0.003124142
0.810408,0,0,0.5742,0,46.49,0.003581788
0.856819,0,2,0.6214,0,46.49,0.0171866
0.867569,0,1,0.6154,0,46.49,0.012268512
0.744864,0,0,0.5827,0,45.67,0.008958025
0.6605,0,1,0.4965,0,45.67,0.001601932
0.04908,0,0,0.2938,0,45.67,0.003767272
0.901309,0,3,0.7181,0,47.57,0.00456057
0.864472,0,1,0.6537,0,47.57,0.001685204
0.716041,0,2,0.6127,0,47.57,0.049470559
0.618953,0,2,0.342,0,74.21,0.019986246
0.507352,0,3,0.3995,0,74.21,0.029235724
0.707667,0,9,0.5292,0,74.21,0.043333497
0.779278,0,2,0.5742,0,78.06,0.039226485
0.629503,0,2,0.6214,0,78.06,0.040161435
0.352524,0,6,0.6154,0,78.06,0.041497059
0.683608,0,2,0.5827,0,76.81,0.02161386
0.562061,0,8,0.4965,0,76.81,0.035037371
0.505863,0,7,0.2938,0,76.81,0.015065063
0.928285,0,0,0.7181,0,77.08,0.004469732
0.879326,0,0,0.6537,0,77.08,0.004119192
0.739117,0,0,0.6127,0,77.08,0.016265037
