深纺织A,20155,201412,201412,201411,20131,20122,201110,20118,20114,20114,20108,20105,20104,20103,200911,200910,200511,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19521,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001
农产品,20165,20162,201512,201512,201512,201511,201510,20158,20158,20156,20154,20154,20154,20154,20154,201411,201410,20148,20144,20141,201312,201311,201311,201311,201310,201310,201310,201310,201310,20138,20134,20134,201210,20128,20128,20125,20124,20124,20124,20124,20124,20124,20124,20124,20124,20123,20122,201112,201112,201112,201112,201110,201110,201110,201110,20119,20119,20119,20118,20118,20118,20118,20118,20118,20117,20115,20115,20115,20115,20114,20111,20111,201010,201010,20109,20109,20109,20108,20108,20108,20108,20107,20106,20105,20103,20103,20101,200912,200910,20098,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19521,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001
盐田港,201412,20138,20135,20133,201210,20129,20128,20128,20127,20124,20123,20123,20123,201112,201110,201110,20118,20118,20118,20118,20118,20118,20115,20114,20114,201010,20104,200911,200911,200910,20099,20099,20099,20099,20098,20098,20098,20096,200810,200810,20089,20085,20084,20083,20081,200712,20078,20075,20074,200610,20068,20066,20066,20066,20062,20061,20061,20061,200511,200510,20058,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19521,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001
广聚能源,20152,20138,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001
中信海直,20164,20164,20163,20163,20163,20163,20163,20163,201512,201512,201510,201510,20159,20158,20158,20155,20154,20153,20153,201412,201411,201411,201410,20149,20148,20148,20145,20144,20144,20144,20142,201312,20139,20138,20134,20132,20131,201212,20128,20128,20126,20124,20124,20123,20123,20123,20123,201111,201110,20118,20118,20118,20118,20118,20118,20118,20118,20115,20115,20114,20108,20108,20108,20104,20104,200910,20098,20098,20097,20092,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001
TCL集团,20163,20162,20162,20162,20161,20161,20161,201512,201512,201512,201512,201512,201510,201510,201510,201510,201510,201510,201510,201510,201510,201510,20159,20158,20158,20158,20158,20158,20158,20158,20158,20158,20157,20157,20157,20157,20157,20157,20156,20155,20155,20155,20155,20155,20155,20155,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20152,20152,20152,20152,20152,20152,20152,20152,20152,20152,20152,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001
中成股份,20104,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001
美的集团,20165,20165,20165,20165,20165,20165,20165,20165,20165,20165,20165,20165,20164,20164,20164,20164,20164,20164,20164,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20162,20161,20161,20161,20161,20161,201512,201512,201512,201511,201510,201510,201510,201510,201510,201510,201510,201510,201510,201510,201510,20159,20159,20159,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20157,20157,20157,20157,20157,20157,20156,20156,20156,20156,20156,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20151,20151,20151,20151,20151,20151,201412,201412,201412,201412,201412,201412,201412,201412,201412,201412,201412,201412,201412,201412,201412,201412,201411,201410,201410,201410,201410,201410,201410,201410,201410,201410,201410,201410,201410,201410,201410,201410,201410,20149,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148
潍柴动力,20165,20164,20163,20163,20163,201511,20158,20158,20156,20154,20154,20153,20153,20152,201412,201412,201410,201410,201410,20149,20149,20148,20148,20147,20147,20146,20145,20145,20145,20144,20144,20144,20144,20144,20144,20144,20144,20143,20143,20143,20143,20142,20141,20141,201311,201310,201310,201310,201310,201310,201310,201310,20139,20139,20139,20138,20138,20138,20138,20138,20135,20135,20135,20135,20135,20135,20135,20135,20135,20134,20133,20133,20133,20133,20133,20133,20133,20133,20133,20133,20133,20133,20133,20133,20133,20133,20133,20132,20131,20131,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001
许继电气,20165,20164,20164,20164,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20163,20161,201511,201510,201510,201510,201510,20159,20159,20159,20158,20158,20158,20158,20158,20158,20158,20158,20158,20157,20155,20155,20155,20154,20154,20154,20153,20153,20153,20153,20153,20153,20153,20152,20151,20151,20151,201412,201410,201410,201410,201410,201410,201410,201410,201410,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20148,20147,20146,20146,20145,20145,20145,20145,20145,20144,20144,20144,20144,20144,20143,20143,20143,20143,20143,20143,20143,20143,20143,20143,20142,20141,201312,201310,201310,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001
